"Transmitter","Days_Detected","First_Detection","Last_Detection"
"A69-1601-62047",980,2020-10-12,2024-04-24
"A69-1601-62096",867,2021-10-29,2024-05-14
"A69-1602-16713",536,2019-05-31,2022-06-11
"A69-1602-9721",536,2019-07-02,2021-03-04
"A69-1602-9712",382,2018-07-19,2020-04-11
"A69-1602-9719",317,2019-07-01,2021-02-22
"A69-1602-9720",310,2018-07-19,2020-08-28
"A69-1602-16715",307,2019-10-17,2022-06-17
"A69-1602-16712",280,2019-10-17,2021-06-12
"A69-1602-9723",251,2018-07-19,2021-02-22
"A69-1601-27075",224,2015-05-20,2020-11-23
"A69-1602-9716",182,2018-08-14,2019-11-27
"A69-1602-9718",179,2018-07-19,2019-09-25
"A69-9001-24655",174,2015-11-09,2021-05-22
"A69-1602-16716",155,2019-05-30,2020-08-03
"A69-1602-9713",120,2019-07-03,2021-06-25
"A69-1602-16710",104,2020-10-15,2021-06-27
"A69-9001-22774",104,2017-05-21,2021-07-18
"A69-9001-24665",84,2016-10-01,2022-08-18
"A69-9001-22777",69,2017-06-20,2020-01-14
"A69-1602-9714",64,2018-07-19,2020-03-18
"A69-1602-9722",53,2018-07-19,2019-04-09
"A69-9001-24664",53,2015-05-08,2019-05-13
"A69-9001-22770",36,2017-01-26,2019-08-07
"A69-9001-24596",36,2016-07-20,2019-08-11
"A69-9001-24661",32,2015-07-10,2016-07-27
"A69-1601-62009",29,2020-11-11,2020-12-09
"A69-9001-22778",26,2017-05-10,2023-05-26
"A69-9001-26872",25,2014-05-06,2017-05-10
"A69-1602-16714",19,2020-11-24,2022-04-18
"A69-9001-26873",15,2015-06-19,2017-04-01
"A69-1602-16718",14,2020-10-15,2020-12-08
"A69-9001-24586",14,2017-07-06,2019-06-08
"A69-9001-24667",14,2014-11-24,2014-12-21
"A69-9001-26868",14,2014-10-31,2015-11-15
"A69-9001-26871",14,2015-06-30,2016-07-31
"A69-1303-52074",13,2013-11-30,2014-11-25
"A69-1601-46826",13,2017-06-29,2017-07-12
"A69-1601-46843",13,2017-06-29,2017-07-12
"A69-1601-46760",12,2017-06-29,2017-07-12
"A69-9001-22769",12,2021-02-04,2021-03-30
"A69-9006-4060",10,2019-05-12,2019-05-29
"A69-1601-36266",8,2016-05-24,2016-07-02
"A69-1602-3235",8,2018-05-26,2018-07-03
"A69-9001-22779",7,2017-05-31,2019-01-01
"A69-9001-24584",6,2015-11-19,2016-08-16
"A69-1303-46140",5,2013-11-25,2013-12-10
"A69-9001-24663",5,2015-07-10,2018-07-25
"A69-1601-45707",4,2017-11-15,2017-12-05
"A69-1601-62505",4,2024-05-01,2024-05-10
"A69-1602-9671",4,2016-06-07,2020-10-05
"A69-9001-26864",4,2013-12-17,2015-06-28
"A69-1601-62006",3,2020-08-12,2020-11-29
"A69-1601-62095",3,2022-02-11,2022-03-29
"A69-1602-16711",3,2019-05-30,2019-07-03
"A69-1602-29792",3,2018-08-13,2018-09-09
"A69-1602-58097",3,2022-11-04,2023-02-14
"A69-1602-9717",3,2018-07-19,2019-07-03
"A69-9001-13032",3,2020-03-11,2020-03-14
"A69-9001-24598",3,2019-06-02,2022-03-10
"A69-1303-32547",2,2015-05-23,2015-05-25
"A69-1303-33545",2,2016-09-08,2016-09-18
"A69-1303-4097",2,2018-10-09,2019-10-01
"A69-1601-62065",2,2023-02-20,2023-02-23
"A69-1602-14302",2,2019-10-02,2020-03-14
"A69-1602-16719",2,2019-07-02,2019-07-03
"A69-1602-48637",2,2017-10-23,2018-11-26
"A69-1602-48947",2,2019-07-28,2019-09-24
"A69-1602-9715",2,2018-07-19,2019-07-02
"A69-9001-22780",2,2021-10-28,2021-10-30
"A69-9001-26866",2,2014-06-17,2014-09-02
"A69-9001-26867",2,2014-04-26,2016-04-14
"A69-9001-64475",2,2024-03-08,2024-03-10
"A69-1303-6156",1,2016-06-10,2016-06-10
"A69-1601-27074",1,2015-03-30,2015-03-30
"A69-1601-46727",1,2017-06-25,2017-06-25
"A69-1601-62806",1,2019-05-22,2019-05-22
"A69-1602-46492",1,2017-03-11,2017-03-11
"A69-1602-52300",1,2022-05-22,2022-05-22
"A69-1602-54055",1,2023-12-13,2023-12-13
"A69-1602-58084",1,2021-10-29,2021-10-29
"A69-9001-13026",1,2018-01-16,2018-01-16
"A69-9001-24593",1,2014-10-28,2014-10-28
"A69-9001-24657",1,2016-05-30,2016-05-30
"A69-9001-8574",1,2021-11-30,2021-11-30
